ID,ORF
1007519_1,Rv1663
1007521_1,Rv1665
1007523_1,Rv1667c
1007537_1,Rv1681
1007539_1,Rv1683
1007541_1,Rv1685c
1007543_1,Rv1687c
1007545_1,Rv1689
1007547_1,Rv1691
1007561_1,Rv1705c
1007563_1,Rv1707
1007565_1,Rv1709
1007567_1,Rv1711
1007569_1,Rv1713
1007571_1,Rv1715
1007873_1,Rv2017
1007875_1,Rv2019
1007877_1,Rv2021c
1007879_1,Rv2023c
1007881_1,Rv2025c
1007883_1,Rv2027c
1007897_1,Rv2041c
1007899_1,Rv2043c
1007901_1,Rv2045c
1007903_1,Rv2047c
1007905_1,Rv2049c
1007907_1,Rv2051c
1007921_1,Rv2065
1007923_1,Rv2067c
1007925_1,Rv2069
1007927_1,Rv2071c
1007929_1,Rv2073c
1007931_1,Rv2075c
1007945_1,Rv2089c
1007947_1,Rv2091c
1007949_1,Rv2093c
1007951_1,Rv2095c
1007953_1,Rv2097c
1007955_1,Rv2099c
1008257_1,Rv2401
1008259_1,Rv2403c
1008261_1,Rv2405
1008263_1,Rv2407
1008265_1,Rv2409c
1008267_1,Rv2411c
1008281_1,Rv2425c
1008283_1,Rv2427c
1008285_1,Rv2429
1008287_1,Rv2431c
1008289_1,Rv2433c
1008291_1,Rv2435c
1008305_1,Rv2449c
1008307_1,Rv2451
1008309_1,Rv2453c
1008311_1,Rv2455c
1008313_1,Rv2457c
1008315_1,Rv2459
1008329_1,Rv2473
1008331_1,Rv2475c
1008333_1,Rv2477c
1008335_1,Rv2479c
1008337_1,Rv2481c
1008339_1,Rv2483c
1008641_1,Rv2785c
1008643_1,Rv2787
1008645_1,Rv2789c
1008647_1,Rv2791c
1008649_1,Rv2793c
1008651_1,Rv2795c
1008665_1,Rv2809
1008667_1,Rv2811
1008669_1,Rv2813
1008671_1,Rv2815c
1008673_1,Rv2817c
1008675_1,Rv2819c
1008689_1,Rv2833c
1008691_1,Rv2835c
1008693_1,Rv2837c
1008695_1,Rv2839c
1008697_1,Rv2841c
1008699_1,Rv2843
1008713_1,Rv2857c
1008715_1,Rv2859c
1008717_1,Rv2861c
1008719_1,Rv2863
1008721_1,Rv2865
1008723_1,Rv2867c
1009025_1,Rv3169
